timestamp;actual_w;actual_calc_wh;actual_wh
0;1283;0;0
20;1267;7.127777778;7.000000001
40;1286;14.16666667;14
60;1294;21.31111111;17
80;1297;28.5;24
100;1284;35.70555556;31
120;1304;42.83888889;38
140;1316;50.08333333;40
160;1304;57.39444444;47
180;1286;64.63888889;54
200;1286;71.78333333;61
220;3453;78.92777778;67
240;3432;98.11111111;86
260;3403;117.1777778;105
280;3409;136.0833333;124
300;3421;155.0222222;138
320;3395;174.0277778;157
340;3359;192.8888889;175
360;2325;211.55;193
380;2512;224.4666667;206
400;3515;238.4222222;225
420;3405;257.95;245
440;2559;276.8666667;264
460;3508;291.0833333;276
480;3457;310.5722222;296
500;2258;329.7777778;312
520;2252;342.3222222;324
540;2180;354.8333333;337
560;3992;366.9444444;359
580;2984.5;389.1222222;381
600;1977;405.7027778;396
620;2069;416.6861111;407
640;2090;428.1805556;419
660;2151;439.7916667;430
680;2127;451.7416667;442
700;3491;463.5583333;455
720;2104;482.9527778;469
740;2115;494.6416667;480
760;2126;506.3916667;492
780;2070;518.2027778;503
800;2011;529.7027778;515
820;4037;540.875;533
840;4134;563.3027778;556
860;4158;586.2694444;579
880;4145;609.3694444;601
900;4055;632.3972222;624
920;4024;654.925;647
940;3942;677.2805556;669
960;4007;699.1805556;691
980;4109;721.4416667;714
1000;4110;744.2694444;737
1020;4108;767.1027778;759
1040;4110;789.925;782
1060;2333;812.7583333;803
1080;2290;825.7194444;816
1100;2277;838.4416667;828
1120;2311;851.0916667;841
1140;2156;863.9305556;853
1160;2143;875.9083333;866
1180;2261;887.8138889;878
1200;2294;900.375;891
1220;261;913.1194444;898
1240;260;914.5694444;899
1260;278;916.0138889;901
1280;299;917.5583333;902
1300;351;919.2194444;904
1320;167;921.1694444;905
1340;311;922.0972222;907
1360;317;923.825;909
1380;325;925.5861111;910
1400;323;927.3916667;912
1420;299;929.1861111;914
1440;315;930.8472222;915
1460;201;932.5972222;917
1480;294;933.7138889;919
1500;352;935.3472222;921
1520;332;937.3027778;922
1540;368;939.1472222;924
1560;318;941.1916667;926
1580;315;942.9583333;928
1600;341;944.7083333;929
1620;163;946.6027778;931
1640;317;947.5083333;932
1660;288;949.2694444;934
1680;295;950.8694444;935
1700;290;952.5083333;937
1720;296;954.1194444;938
1740;376;955.7638889;941
1760;361;957.8527778;942
1780;231;959.8583333;945
1800;365;961.1416667;946
1820;354;963.1694444;948
1840;345;965.1361111;950
1860;329;967.0527778;952
1880;330;968.8805556;953
1900;349;970.7138889;955
1920;197;972.6527778;957
1940;354;973.7472222;959
1960;343;975.7138889;960
1980;263;977.6194444;962
2000;247;979.0805556;963
2020;245;980.4527778;964
2040;222;981.8138889;966
2060;309;983.0472222;967
2080;110;984.7638889;968
2100;249;985.375;969
2120;253;986.7583333;971
2140;257;988.1638889;972
2160;271;989.5916667;973
2180;257;991.0972222;974
2200;236;992.525;976
2220;405;993.8361111;977
2240;2206;996.0861111;989
2260;2278;1008.341667;1002
2280;2275;1020.997222;1014
2300;2263;1033.636111;1027
2320;2262;1046.208333;1039
2340;2293;1058.775;1052
2360;2311;1071.513889;1064
2380;2140;1084.352778;1080
2400;2273;1096.241667;1093
2420;2266;1108.869444;1105
2440;2242;1121.458333;1118
2460;2138;1133.913889;1130
2480;2202;1145.791667;1142
2500;2200;1158.025;1154
2520;2227;1170.247222;1166
2540;2054;1182.619444;1178
2560;2185;1194.030556;1190
2580;2213;1206.169444;1203
2600;2196;1218.463889;1215
2620;2225;1230.663889;1227
2640;2183;1243.025;1239
2660;2192;1255.152778;1251
2680;2064;1267.330556;1263
2700;2109;1278.797222;1275
2720;176;1290.513889;1285
2740;172;1291.491667;1286
2760;162;1292.447222;1286
2780;165;1293.347222;1287
2800;220;1294.263889;1289
2820;295;1295.486111;1290
2840;152;1297.125;1291
2860;304;1297.969444;1293
2880;289;1299.658333;1294
2900;285;1301.263889;1296
2920;305;1302.847222;1297
2939;275;1304.456944;1299
2959;252;1305.984722;1300
2979;293;1307.384722;1301
2999;130;1309.0125;1303
3019;258;1309.734722;1304
3039;207;1311.168056;1305
3059;232;1312.318056;1306
3079;204;1313.606944;1307
3099;236;1314.740278;1308
3119;219;1316.051389;1310
3139;84;1317.268056;1311
3159;172;1317.734722;1312
3179;217;1318.690278;1313
3199;227;1319.895833;1314
3219;238;1321.156944;1315
3239;223;1322.479167;1316
3259;250;1323.718056;1318
3279;296;1325.106944;1319
3299;127;1326.751389;1320
3319;280;1327.456944;1322
3339;211;1329.0125;1323
3359;216;1330.184722;1324
3379;222;1331.384722;1325
3399;196;1332.618056;1326
3419;203;1333.706944;1327
3439;227;1334.834722;1328
3459;82;1336.095833;1329
3479;234;1336.551389;1330
3499;198;1337.851389;1331
3519;249;1338.951389;1333
3539;236;1340.334722;1334
3559;232;1341.645833;1335
3579;253;1342.934722;1336
3599;95;1344.340278;1338
3619;249;1344.868056;1339
3639;230;1346.251389;1340
3659;235;1347.529167;1341
3679;224;1348.834722;1342
3699;239;1350.079167;1343
3719;232;1351.406944;1345
3739;312;1352.695833;1346
3759;122;1354.429167;1347
3779;265;1355.106944;1348
3799;316;1356.579167;1350
3819;292;1358.334722;1351
3839;271;1359.956944;1353
3859;285;1361.4625;1354
3879;317;1363.045833;1356
3899;222;1364.806944;1358
3919;217;1366.040278;1359
3939;327;1367.245833;1361
3959;323;1369.0625;1363
3979;371;1370.856944;1364
3999;351;1372.918056;1366
4019;361.5;1374.868056;1370
4039;372;1376.876389;1374
4059;219;1378.943056;1376
4079;365;1380.159722;1378
4099;245;1382.1875;1379
4119;260;1383.548611;1381
4139;246;1384.993056;1382
4159;256;1386.359722;1383
4179;265;1387.781944;1384
4199;305;1389.254167;1386
4219;136;1390.948611;1387
4239;270;1391.704167;1389
4259;287;1393.204167;1390
4279;264;1394.798611;1391
4299;275;1396.265278;1393
4319;268;1397.793056;1394
4339;245;1399.281944;1395
4359;100;1400.643056;1396
4379;210;1401.198611;1398
4399;245;1402.365278;1399
4419;247;1403.726389;1400
4439;266;1405.098611;1401
4459;233;1406.576389;1403
4479;213;1407.870833;1404
4499;232;1409.054167;1405
4519;79;1410.343056;1406
4539;224;1410.781944;1407
4559;218;1412.026389;1408
4579;213;1413.2375;1409
4599;252;1414.420833;1411
4619;301;1415.820833;1412
4639;284;1417.493056;1413
4659;238;1419.070833;1415
4679;165;1420.393056;1416
4699;284;1421.309722;1418
4719;293;1422.8875;1419
4739;274;1424.515278;1421
4759;309;1426.0375;1422
4779;308;1427.754167;1424
4799;349;1429.465278;1425
4819;193;1431.404167;1427
