timestamp;actual_w;actual_calc_wh;actual_wh
0;348;0;0
20;354;1.933333333;1.999999999
40;277;3.9;4
60;329;5.438888889;11
80;2167;7.266666667;21
100;2185;19.30555556;33
120;2249;31.44444444;45
140;2239;43.93888889;57
160;2147;56.37777778;69
180;2148;68.30555556;81
200;2127;80.23888889;93
220;2139;92.05555556;105
240;2142;103.9388889;116
260;2111;115.8388889;128
280;2017;127.5666667;140
300;2007;138.7722222;152
320;2143;149.9222222;163
340;2143;161.8277778;175
360;2126;173.7333333;187
380;2128;185.5444444;199
400;2123;197.3666667;210
420;2046;209.1611111;222
440;2056;220.5277778;233
460;2043;231.95;244
480;2085.5;243.3;257
500;2128;254.8861111;271
520;2122;266.7083333;282
540;2123;278.4972222;294
560;2062;290.2916667;306
580;2069;301.7472222;317
600;1979;313.2416667;328
620;1924;324.2361111;340
640;1934;334.925;351
660;226;345.6694444;358
680;222;346.925;359
700;208;348.1583333;360
720;218;349.3138889;361
740;200;350.525;362
760;207;351.6361111;363
780;118;352.7861111;364
800;53;353.4416667;365
820;195;353.7361111;366
840;183;354.8194444;367
860;178;355.8361111;368
880;165;356.825;369
900;197;357.7416667;370
920;183;358.8361111;371
940;92;359.8527778;372
960;148;360.3638889;373
980;255;361.1861111;374
1000;340;362.6027778;376
1020;322;364.4916667;378
1040;342;366.2805556;379
1060;300;368.1805556;381
1080;335;369.8472222;383
1100;189;371.7083333;384
1120;341;372.7583333;386
1140;336;374.6527778;388
1160;349;376.5194444;390
1180;353;378.4583333;391
1200;334;380.4194444;393
1220;356;382.275;395
1240;142;384.2527778;396
1260;213;385.0416667;398
1280;284;386.225;399
1300;280;387.8027778;401
1320;272;389.3583333;402
1340;260;390.8694444;404
1360;276;392.3138889;405
1380;282;393.8472222;406
1400;132;395.4138889;408
1420;230;396.1472222;409
1440;225;397.425;410
1460;222;398.675;411
1480;224;399.9083333;412
1500;202;401.1527778;413
1520;195;402.275;414
1540;252;403.3583333;415
1560;60;404.7583333;416
1580;191;405.0916667;417
1600;198;406.1527778;418
1620;188;407.2527778;419
1640;188;408.2972222;420
1660;199;409.3416667;421
1680;182;410.4472222;422
1700;194;411.4583333;423
1720;58;412.5361111;424
1740;204;412.8583333;425
1760;196;413.9916667;426
1780;202;415.0805556;427
1800;193;416.2027778;428
1820;201;417.275;429
1840;207;418.3916667;430
1860;6;419.5416667;431
1880;146;419.575;432
1900;134;420.3861111;432
1920;151;421.1305556;433
1940;141;421.9694444;434
1960;158;422.7527778;435
1980;158;423.6305556;435
2000;208;424.5083333;436
2020;8;425.6638889;437
2040;156;425.7083333;437
2060;244;426.575;439
